id,secao,dimensao,componente,esperado,encontrado,status,severidade,evidencia,acao
R07-05,07_dados,DADO,Filas/DLQ sem acúmulo (etapa 79),Filas vazias + purge eficaz,"DLQs e filas de mensagem: 0 ✅; media_download_queue: 9.580 linhas TERMINAIS (6.214 expired + 3.366 done, última escrita 26/07); cron job 90 purge retorna DELETE 0 (critério não casa)",WARN,P2,07 §79 (GROUP BY status; job_run_details do 90),DELETE das linhas expired/done + corrigir comando do job 90
R07-06,07_dados,DADO,Realtime: tabelas subscritas publicadas (etapa 81),100% das tabelas do front na publicação,Front assina postgres_changes em 'messages' (e usa messages_whatsapp) — NENHUMA publicada (nem na supabase_realtime nem na _messages_publication; 79 tabelas publicadas no total),FAIL,P1,07 §81 (pg_publication_tables × channel()/postgres_changes),Publicar tabelas de mensagens (zapp.messages é VIEW — publicar tabelas base e ajustar canais ou NOTIFY); ver nota de arquitetura no plano
R07-07,07_dados,DADO,Duplicidade public.* vs zapp.* (etapa 81),Sem ambiguidade de schema,"messages, whatsapp_connections, channel_connections, audio_memes, custom_emojis, stickers existem em public.* E zapp.* (herança Lovable→self-hosted) — risco de ambiguidade em postgres_changes/queries sem schema",WARN,P1,07 §81 (pg_class × uso no front),Auditar e desativar/remover duplicatas public.* não usadas
R07-08,07_dados,DADO,Persistência + disco (etapa 82),Dados em volume gerenciado; disco folgado,"DB/storage/functions em BIND MOUNTS /root/supabase/docker/volumes/ (persistem, mas fora do gerenciamento Docker); disco 78% (151G/194G, 43G livres); backups ativos",WARN,P2,07 §82 (portainer volumes; df -h),Documentar bind mounts; avaliar volume named; monitorar disco (ver R08-09)
R07-09,07_dados,DADO,WAL/replication slots (etapa 83),Slots ativos; WAL pequeno,2 slots ativos (lag ~7 MB); WAL dir 1.024 MB (64 arquivos) ≪ 5 GB; guards wal-slot-monitor/wal-slot-guard operando,OK,-,07 §83 (pg_replication_slots; pg_ls_waldir),—
R07-10,07_dados,DADO,Buckets usados × existentes (etapa 80),Sem bucket órfão/vazio inesperado,"13 buckets; 5 com objetos (whatsapp-media 16.506, audio-messages 2.202, avatars 1.411, etiquetas-remessa 12, fechamentos 237); 8 VAZIOS (audio-memes e team-chat-files referenciados no código; custom-emojis/stickers órfãos — código usa TABELAS homônimas)",WARN,P2,07 §80 (storage.objects × grep repo),Revisar buckets vazios/órfãos (confirmar uso externo antes de remover)
R08-01,08_saude,SAÚDE,Matriz de versões compatíveis (etapa 85),Imagens compatíveis com PG 15.8,Todas as imagens reais e compatíveis (postgrest v14.12 conecta PG 15.8 sem warning; edge-runtime v1.74.0); sem drift de tag,OK,-,08 §85 (task images; logs rest),—
R08-02,08_saude,SAÚDE,Meta sem OOM / crash (etapa 86),Meta estável; sem risco OOM,"Crash ANTERIOR foi OOM 137 (heap Node 400MB em cgroup 512MB; Studio chamando index_advisor; logs ENOTFOUND meta no Studio); container atual healthy, VmRSS 128MB, RestartCount=0 — MAS limite 512MB ainda apertado",FAIL,P1,08 §86 (logs meta/studio; HostConfig.Memory; VmHWM),Subir memória do meta p/ 1GB + NODE_OPTIONS max-old-space-size=768; criar/remover index_advisor; monitorar
R08-03,08_saude,SAÚDE,Health/Restart de todos os serviços (etapa 87),"RestartCount=0, sem flapping","Todos os 15 containers running, RestartCount=0, OOMKilled=false; meta e functions recriados HOJE (04/08 14:24Z e 16:29Z)",OK,-,08 §87 (list_containers),—
R08-04,08_saude,SAÚDE,PGRST106/406: schema evo em uso (etapa 88),Edge functions gravam sem erro,functions logam 'Invalid schema: evo' (PGRST106) e Kong retorna 406 em POST /rest/v1/evolution_messages a cada webhook — schema evo NÃO exposto mas USADO pelas edges (v2 mirror / evolution-messages),FAIL,P1,08 §88 (logs functions+kong 406; PGRST_DB_SCHEMAS),Adicionar evo ao PGRST_DB_SCHEMAS OU migrar edges p/ zapp (decisão; ver R03-03)
R08-05,08_saude,SAÚDE,Áudios OGG/Opus aceitos (etapa 88),Upload de áudio WhatsApp persiste,415 invalid_mime_type 'audio/ogg; codecs=opus' — 47% do log do storage (72/154 linhas); áudios NÃO persistem no bucket,WARN,P2,08 §88 (logs storage; erro [MEDIA] nas functions),Normalizar content-type no upload (webhook) ou configurar allowlist de MIME; revalidar com áudio real
R08-06,08_saude,SAÚDE,rest: conexão NOTIFY estável (etapa 88),Sem desconexões periódicas,"'Failed listening for database notifications… retrying in 1s' a cada ~2h (01:05, 03:06, … 17:38) — reconecta sozinho; sem 401/timeout",WARN,P3,08 §88 (logs rest),Investigar keepalive TCP/timeout do pg (baixo impacto)
R08-07,08_saude,SAÚDE,gmail-send sem 401 (etapa 88),Function autentica,POST /functions/v1/gmail-send 401 recorrente (Deno/2.9.4),WARN,P3,08 §88 (logs kong),Verificar apikey/verify_jwt da function gmail-send (relacionado R06-03)
R08-08,08_saude,SAÚDE,Backup recente e válido (etapa 89),"Dump de hoje, legível, offsite","supabase_selfhosted_20260804_151702.dump HOJE 15:17Z, 143,7MB; magic PGDMP (custom, não gzip); pg_restore --list OK (TOC 10.462, 767 tabelas); sentinel updated; R2 offsite criptografado OK; retention 14d local+R2",OK,-,08 §89; 10 V4 (pg_restore --list; R2 OK),Monitorar crescimento (143MB/dia) e retention
R08-09,08_saude,SAÚDE,Recursos: disco/RAM/limites (etapa 90),Disco folgado; swap presente; limites definidos,"Disco 78% (43G livres); RAM 14.4G/24G usada, 0 swap; db/rest/kong/realtime/storage sem memory limit (dependem do OOM killer do host)",WARN,P3,08 §90 (df; free -m; HostConfig),Adicionar swap 4GB; definir limites db (8G)/rest (2G); monitorar disco
R08-10,08_saude,SAÚDE,Rede interna e gateway público (etapa 91),DNS overlay OK; endpoints públicos respondem,kong/meta/db resolvem na overlay; /auth/v1/health e /rest/v1/ 401 esperados; /storage/v1/status 200 interno e externo,OK,-,08 §91 (exec curl; curl externo),—
R08-11,08_saude,SAÚDE,Meta coberto por monitor de saúde (etapa 86),Crash detectado automaticamente,"mcp-health-monitor NÃO monitora meta (monitora portainer-mcp, supabase-mcp, n8n, redis, traefik) — crash de 04/08 passou despercebido até o Studio quebrar",WARN,P2,08 §86 (config do mcp-health-monitor),Adicionar meta:8080/health ao mcp-health-monitor
