path;classe;justificativa;consumidores;destino_path;etapa
docs/ROLLBACK_PLANO_100_ETAPAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RPC_STUBS_STATUS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RUNBOOK.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RUNBOOK_401_WORKERS_EVOLUTION_20260806.md;"MIGRA;REVISAR";Runbook de operação/diagnóstico de 401s na Evolution API (callers externos), dono é o evolution-stack. [R2: consumidor encontrado: .hermes/execucao-evo-20260806/E10-docs.md, docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md, docs/RUNBOOK_MEDIA_REFRESH_400_20260806.md];.hermes/execucao-evo-20260806/E10-docs.md, docs/PLANO_CORRECAO_EVO_API_100_ETAPAS_20260806.md (também migrando), docs/RUNBOOK_MEDIA_REFRESH_400_20260806.md, graphify-out/manifest.json (gerado);docs/RUNBOOK_401_WORKERS_EVOLUTION_20260806.md;E25
docs/RUNBOOK_DISASTER_RECOVERY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RUNBOOK_DR_EVO_20260806.md;EXCLUI;Duplicata antiga (06/08, 5,9KB) superada pelo canônico docs/runbook-evolution/DR_RUNBOOK_EVO.md (12/08, 24KB, +238/-64 no diff): canônico corrige erro crítico (sessão fica no Redis DB 8, não na tabela Session do PG — root está errado), adiciona checksums sha256, PITR pgBackRest e RPO/RTO medidos, ro;graphify-out/manifest.json (artefato gerado, não-consumidor real), nenhum .md de docs/ ou src/ referencia;;E26
docs/RUNBOOK_MEDIA_REFRESH_400_20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RUNBOOK_OBSERVABILITY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/RUNBOOK_WA_BUSINESS_ACTIVATION.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SCHEMA_DISCREPANCY_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SCHEMA_REFERENCE.md;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/SCHEMA_SNAPSHOT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SECRETS-ROTATION-RUNBOOK.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SECURITY_HARDENING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SIMULACAO_CENARIOS_EVO_2026-07-10.md;"ARQUIVA;REVISAR";Registro histórico de simulação de cenários (2026-07-10), único link de entrada é o irmão EXECUCAO_MELHORIAS_EVO também arquivado. [R2: consumidor encontrado: docs/EXECUCAO_MELHORIAS_EVO_2026-07-10.md];docs/EXECUCAO_MELHORIAS_EVO_2026-07-10.md (irmão, também ARQUIVA);docs/_archive/SIMULACAO_CENARIOS_EVO_2026-07-10.md;E23
docs/SIMULATION_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/STRICT_MODE_BACKLOG.md;FICA;doc estrutural — revisao Fase 3;;;
docs/SUPABASE_SCHEMA_AUDIT_2026-07-15.md;FICA;doc estrutural — revisao Fase 3;;;
docs/TECHNICAL_DOCUMENTATION.md;FICA;doc estrutural — revisao Fase 3;;;
docs/TESTE_EXAUSTIVO_2026-07-15.md;FICA;doc estrutural — revisao Fase 3;;;
docs/TROUBLESHOOTING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/TS_NOCHECK_CLEANUP.md;FICA;doc estrutural — revisao Fase 3;;;
docs/VALIDACAO_CORRECOES_2026-08-05.md;FICA;doc estrutural — revisao Fase 3;;;
docs/VALIDATION_PLAN_50_STEPS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/VALIDATION_REPORT_CHATPANEL_2026-08-01.md;FICA;doc estrutural — revisao Fase 3;;;
docs/VPS_SETUP_RUNBOOK.md;FICA;doc estrutural — revisao Fase 3;;;
docs/WEBHOOK_EVENTS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/WEBHOOK_SECURITY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/_archive/AUDITORIA_EVO_API_2026-07-10.md;FICA;ja em archive;;;
docs/_archive/AUDITORIA_EVO_API_2026-07-12.md;FICA;ja em archive;;;
docs/_archive/AUDITORIA_EXAUSTIVA_2026-07-12.md;FICA;ja em archive;;;
docs/_archive/AUDITORIA_EXAUSTIVA_2026-07-16.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-39-30-705Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-39-46-339Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-40-03-725Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-40-18-958Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-40-40-092Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T13-41-31-506Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T20-01-22-112Z.md;FICA;ja em archive;;;
docs/_archive/cutover-reports/ts-nocheck-batch-2026-07-15T20-32-27-612Z.md;FICA;ja em archive;;;
docs/adr/ADR-001-media-url-storage.md;FICA;doc estrutural — revisao Fase 3;;;
docs/adr/ADR-002-bucket-public.md;FICA;doc estrutural — revisao Fase 3;;;
docs/adr/ADR-006-arquitetura-sla-canonica.md;FICA;doc estrutural — revisao Fase 3;;;
docs/architecture/ARQUITETURA_INSTANCIAS_TRANSFERENCIAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/architecture/JORNADA_MENSAGEM_WHATSAPP.md;FICA;doc estrutural — revisao Fase 3;;;
docs/architecture/SELF-HOSTED-DATABASE-GUIDE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/architecture/edge-functions.md;FICA;doc estrutural — revisao Fase 3;;;
docs/architecture/evolution-api-mapping.md;FICA;doc estrutural — revisao Fase 3;;;
docs/arquitetura/adr-005-unicidade-contatos.md;FICA;doc estrutural — revisao Fase 3;;;
docs/arquitetura/edge-auth.md;FICA;doc estrutural — revisao Fase 3;;;
docs/arquitetura/zapp-facade-layer.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit-2026-08-06/EXECUTIVE_SUMMARY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit-2026-08-06/RECONCILIATION_MATRIX.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit-2026-08-06/VALIDATION_PLAN_100_STEPS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit-2026-08-06/reconciliation.csv;FICA;doc estrutural — revisao Fase 3;;;
docs/audit-2026-08-06/reconciliation.json;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/FINAL_AUDIT_REPORT_2026-08-03.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/SECURITY_AUDIT_BANCO_2026-08-03.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/feature-registry-2026-08-04/FEATURE_REGISTRY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/feature-registry-2026-08-04/SUMARIO_EXECUTIVO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/feature-registry-2026-08-04/feature_registry.csv;FICA;doc estrutural — revisao Fase 3;;;
docs/audit/feature-registry-2026-08-04/feature_registry.json;FICA;doc estrutural — revisao Fase 3;;;
docs/auditoria-frontend-media-20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/auditoria-media-producers-20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/AUDITORIA_EXECUCAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/AUDITORIA_FINAL_20_ETAPAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/HANDOFF_BLOCO_9A.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/HANDOFF_REVISAO_BACKLOG.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/INDICE_ACHADOS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PLANO30_DIAGNOSTICO_REAL.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PLANO_CORRECAO_20_ETAPAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PLANO_IMPLEMENTACAO_100.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PLANO_QA_ANALISE_100.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PROMPT_AGENTE_LOCAL_CORRECAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PROMPT_ETAPA_3.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/PROMPT_LOTE_C_F7.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/REALTIME_CHANNELS_AUDIT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/RELATORIO_CORRECAO.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/RELATORIO_EXECUCAO_ANALISE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/REVISAO_BACKLOG_172.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/SUPLEMENTO_AUDITORIA_2026-08-02.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/circuit-breakers-inventory.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/connection-creation-flow.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/crons-inventory.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/CI_COST_ANALYSIS_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/FLUXO_CLIQUE_CHATPANEL.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/QUALITY_METRICS_REPORT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/audit-summary.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/auditoria-edge-functions.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/auditoria_tabelas_zapp.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/data-loss-simulation-report.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/history/evolution-api-audit-report.md;"ARQUIVA;REVISAR";historico de auditoria/incidente (Fase 2 confirma) [R2: consumidor encontrado: docs/audits/PLANO_QA_ANALISE_100.md];;;
docs/audits/history/health-check-banco-2026-07-30.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/retry-backoff-inventory.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/simulation-consolidated-2026-07-12.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/triggers-whatsapp-connections.md;FICA;doc estrutural — revisao Fase 3;;;
docs/audits/whatsapp-flow-simulation.md;FICA;doc estrutural — revisao Fase 3;;;
docs/baseline-edge-tests-20260806.md;FICA;doc estrutural — revisao Fase 3;;;
docs/csp.md;FICA;doc estrutural — revisao Fase 3;;;
docs/cutover/2026-06-30_RUNBOOK.md;"ARQUIVA;REVISAR";Runbook de cutover 2026-06-30 marcado 'DOCUMENTO HISTÓRICO' — cutover concluído 2026-07-15, superseded por SCHEMA_REFERENCE. [R2: consumidor encontrado: supabase/config.toml];— (sem links externos, banner aponta p/ docs/SCHEMA_REFERENCE.md);docs/_archive/cutover-reports/;E83
docs/cutover/2026-07-15_final_report.md;ARQUIVA;Relatório final 'Rumo a 10/10' da consolidação zapp/evo 2026-07-15 — relatório de execução concluída.;— (sem links externos);docs/_archive/cutover-reports/;E83
docs/cutover/2026-07-15_schema_audit.md;"ARQUIVA;REVISAR";Auditoria de BD/Schema 2026-07-15 com nota histórica (FATOR X descomissionado) — auditoria concluída. [R2: consumidor encontrado: docs/cutover/2026-07-15_final_report.md, supabase/migrations/20260804000000_canonical_schema_squash_133_migrations.sql];docs/cutover/2026-07-15_final_report.md;docs/_archive/cutover-reports/;E83
docs/cutover/2026-07-15_simulation_report.md;"ARQUIVA;REVISAR";Relatório de simulação ~300 cenários de acesso zapp/evo 2026-07-15 — simulação concluída pós-cutover. [R2: consumidor encontrado: docs/cutover/2026-07-15_final_report.md];docs/cutover/2026-07-15_final_report.md;docs/_archive/cutover-reports/;E83
docs/cutover/2026-07-15_wave_next_gaps.md;ARQUIVA;Auditoria da onda 'Rumo a 10/10' (Fase 0→5) 2026-07-15 — relatório de auditoria concluído.;— (sem links externos);docs/_archive/cutover-reports/;E83
docs/cutover/GAP_REPORT.md;ARQUIVA;GAP REPORT Lovable Cloud → Self-Hosted 2026-07-16 — relatório de auditoria da migração concluída.;— (sem links externos, referencia cloud-tables/db_sweep/rpcs/tables internos);docs/_archive/cutover-reports/;E83
docs/cutover/cloud-tables.txt;"ARQUIVA;REVISAR";Lista de tabelas cloud Lovable do cutover — artefato de inventário da migração concluída. [R2: consumidor encontrado: docs/cutover/GAP_REPORT.md];docs/cutover/GAP_REPORT.md;docs/_archive/cutover-reports/;E83
docs/cutover/db_old_reference_sweep.md;"ARQUIVA;REVISAR";Sweep de referências antigas 2026-06-30 marcado 'DOCUMENTO HISTÓRICO' — cutover concluído. [R2: consumidor encontrado: docs/cutover/GAP_REPORT.md];docs/cutover/GAP_REPORT.md;docs/_archive/cutover-reports/;E83
docs/cutover/realtime_readiness.md;ARQUIVA;Verdict de readiness realtime 2026-06-30 pré-cutover — veredito de execução concluída (cutover feito 07-15).;— (sem links externos);docs/_archive/cutover-reports/;E83
docs/cutover/repo-edge-functions.txt;"ARQUIVA;REVISAR";Lista de edge functions do repo — artefato de inventário da migração concluída. [R2: consumidor encontrado: docs/cutover/GAP_REPORT.md];docs/cutover/GAP_REPORT.md;docs/_archive/cutover-reports/;E83
docs/cutover/selfhosted-zapp-rpcs.txt;"ARQUIVA;REVISAR";Lista de RPCs self-hosted zapp — artefato de inventário da migração concluída. [R2: consumidor encontrado: docs/cutover/GAP_REPORT.md];docs/cutover/GAP_REPORT.md;docs/_archive/cutover-reports/;E83
docs/cutover/selfhosted-zapp-tables.txt;"ARQUIVA;REVISAR";Lista de tabelas self-hosted zapp — artefato de inventário da migração concluída. [R2: consumidor encontrado: docs/cutover/GAP_REPORT.md];docs/cutover/GAP_REPORT.md;docs/_archive/cutover-reports/;E83
docs/cutover/ts-nocheck-batch-2026-07-15T13-39-30-705Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);docs/cutover/2026-07-15_ts-nocheck-wave1.md, duplicata já arquivada em docs/_archive/cutover-reports/;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T13-39-46-339Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T13-40-03-725Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T13-40-18-958Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T13-40-40-092Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T13-41-31-506Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T20-01-22-112Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/cutover/ts-nocheck-batch-2026-07-15T20-32-27-612Z.md;EXCLUI;duplicata identica de docs/_archive/cutover-reports/ (diff -q = 0);;;E93
docs/dados/lovable-policies-referencia-20260801.json;FICA;doc estrutural — revisao Fase 3;;;
docs/db/AGENTS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/ARCHITECTURE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/BACKCOMPAT-VIEWS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/CRONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/DATABASE.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/DDL-FREEZE-POLICY.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/EXTERNAL-DEPENDENCIES.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/FUNCTIONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/INDEXES.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/ONBOARDING.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/PARTITIONS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/PLANO-DB-50-ETAPAS.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/PR-CHECKLIST.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/R25-P2-9-SECDEF-316-AUDIT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/SCHEMA-CONTRACT.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/WAVE5-ROADMAP.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/adrs/ADR-DB-001-schema-public-destino.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/adrs/ADR-DB-002-fronteira-zapp-evo.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/adrs/ADR-DB-004-fks-zapp-evo-e-cross-modulo.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/schemas/README.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/schemas/evo.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/schemas/public.md;FICA;doc estrutural — revisao Fase 3;;;
docs/db/schemas/zapp.md;FICA;doc estrutural — revisao Fase 3;;;
docs/decisions/ADR-004-evolution-api-webhook-bridge.md;FICA;doc estrutural — revisao Fase 3;;;
docs/decisions/ADR-005-audit-recovery-model.md;FICA;doc estrutural — revisao Fase 3;;;
docs/decisions/ADR-006-two-backend-boundary.md;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decisions/ADR-007-audit-recovery-model.md;FICA;doc estrutural — revisao Fase 3;;;
docs/decouple/ADR-008-canonical-domain-model.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-009-gateway-pattern.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-010-sql-gateway.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-011-egress-gateway.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-012-T0-MEASUREMENT.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-013-PHASE1-PLAN.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-014-PHASE2-PLAN.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-015-evo-schema-owner.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-017-corte-fisico-evo.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-I4-E73-E77-PLANO-JANELA.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ADR-I4-ROTA-A-MANTIDA.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/AGENTES_LANES.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ANALISE_FRONTEIRA_EVO_ZAPP_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/AUDITORIA_INDEPENDENCIA_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/BASELINE.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/BASELINE_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/BOUNDARY_AUDIT_V2.md;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T0.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T1.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T2.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T3.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T4.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/BOUNDARY_SCORE_T5.json;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/CANONICAL_COLUMN_MAP.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CENARIOS_V4_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CHECKLIST_EXECUCAO_ONDAS_20260816.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CI_GATES_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CLASSIFICATION_A_B.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CLOUD_CLIENT.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CONTRACT_SURFACE_V1.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CONTRACT_WRITE_EVO_TO_ZAPP.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CONTRACT_WRITE_ZAPP_TO_EVO.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/COVERAGE_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/CREDENTIAL_BOUNDARY.md;FICA;doc vivo de fronteira — revisao manual E20/E21/E29;;;
docs/decouple/CRON_FAILURES_7D.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/DECOUPLING.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/DOC_UPDATE_ORCHESTRATION_20260814.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E25-I1-I2-AUDIT.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E25-I3-REMOVAL-PLAN.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E25-I4-CORRECTION-PLAN.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E41-I9-FK-REMOVAL-PLAN.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E49_CLASSIFICACAO_FNS_20260815.json;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E59_E60_MOVE_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E62_REPOINT_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E6_PLANO_PGBACKREST_SUPABASE.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/E93_RELATORIO_CAMADAS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/EGRESS_SURFACE_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ENSAIO_F5_OPERACIONAL_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ENSAIO_TROCA_PROVIDER_MEDIDO.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ENSAIO_V4_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/EVO_GRANTS_AUDIT_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/EVO_MIGRATION_SPLIT.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/EVO_RETIREMENT_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/FUNCTIONS_CLASSIFICATION.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/HANDOFF.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/HANDOFF_EXAUSTIVO_20260813.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/HANDOFF_FINAL_20260813.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/HANDOFF_POS_DESACOPLAMENTO_20260813.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/INDICES_CLEANUP_PROPOSTA.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/LOTE4_FASE2_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/LOTE5_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/LOTE6_7_8_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/LOTE9_LOG.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PAUSE_INGEST.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PHYS_REFS_MAP.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_100_ETAPAS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_V2_100_ETAPAS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_V3_100_ETAPAS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_V4_100_ETAPAS_20260814.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_V4_CLAUDE_100_ETAPAS_20260814.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_DESACOPLAMENTO_V4_FINAL_100_ETAPAS_20260814.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PLANO_INDEPENDENCIA_100_ETAPAS_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/PREFLIGHT_CHECKLIST.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/README.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/RETROSPECTIVA_FINAL_100_ETAPAS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/RETRO_V2.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ROLLBACK_TRIGGERS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/ROTINA_TRIMESTRAL.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/RPC_AUDIT_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/RUNBOOK_TROCA_PROVIDER.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SCORECARD_V3.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SCORECARD_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SEARCHPATH_AUDIT_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SIMULATION_REPORT.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SIMULATION_SCENARIOS_20260814.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/SUBSTITUABILITY_MATRIX_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/VALIDACAO_EXECUCAO_PLANO_20260815.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/VALIDACAO_POS_MOVE_I4_20260816.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/VALIDACAO_V3.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/VAULT_DEDUP_ANALYSIS.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/VAULT_SECRETS_V4.md;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/baseline/20260815/cron_jobs.json;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/baseline/20260815/cross_schema_fks.json;FICA;registro do plano 100E (vivo ate fechar);;;
docs/decouple/baseline/20260815/evo_zapp_refs.json;FICA;registro do plano 100E (vivo ate fechar);;;
