camadas,confianca,descricao,dominio,em_uso,esforco,evidencias,id,o_que_falta,obs,recurso,status
"UI,hook,RPC,tabela,realtime,edge,storage",alta,"Biblioteca de memes de áudio com upload, classificação por IA e envio no chat.",IA/VOZ/AUDIO,sim,P,"AudioMemePicker.tsx (ChatInputToolbars.tsx:147) + useAudioManagement.ts:258 (invoke classify-audio-meme), :331 (RPC fn_increment_meme_use), :227 (storage audio-memes) + zapp.audio_memes=20 linhas + realtime audio-memes-catalog (useAudioManagement.ts:152) + buckets audio-memes/audio-messages (storage_buckets_front) + edge:classify-audio-meme e elevenlabs-sfx (AIGenerateDialog.tsx:45,80) deployadas",IA-09,,Geração de SFX por IA via elevenlabs-sfx no MediaAdminPanel.tsx:125.,Memes de áudio,Full
"UI,tabela",media,Categorias de áudio-meme para organização e classificação IA.,IA/VOZ/AUDIO,sim,P,AudioMemeCategorySelector.tsx renderizado em AudioMemePicker.tsx:282 e AudioMemeUploadPreview.tsx:44 + zapp.audio_meme_categories=12 linhas (db_uso) + classificação IA retorna category (useAudioManagement.ts:258-268),IA-10,,Sem CRUD dedicado de categorias — só seleção na UI.,Categorias de meme,Full
"UI,RPC,tabela,realtime",media,Favoritar áudio-memes com toggle por usuário e atualização em tempo real.,IA/VOZ/AUDIO,sim,P,"useAudioManagement.ts:355 (RPC fn_toggle_user_meme_favorite, presente em rpc_calls_front) + zapp.audio_meme_favorites=1 linha + realtime audio-memes-favorites (useAudioManagement.ts:167 + realtime_channels_front)",IA-11,,Uso mínimo (1 linha). UI de favorito dentro do AudioMemePicker.,Favoritos de meme,Full
"UI,rota,hook,edge,tabela,realtime",alta,"Painel VoIP, alerta de chamada recebida e histórico de chamadas.",IA/VOZ/AUDIO,sim,P,"sidebarNavConfig.ts:115 (rota 'voip') + VoIPPanel.tsx:81 (invoke get-sip-password, edge deployada) + useIncomingCallListener.ts:27-33 (channel incoming-calls -> INSERT zapp.calls, publicada em db_realtime) + zapp.calls=31 linhas + useCallsHistory.ts:24 (lê calls)",IA-12,,evo.evolution_calls=20 linhas é caminho Evolution paralelo (não usado pelo painel).,Chamada de voz/VoIP,Full
"UI,hook,RPC,tabela,realtime,edge",media,Converte áudio com preset de voz (clone ou padrão) com fila e progresso realtime.,IA/VOZ/AUDIO,nao,P,"VoiceChanger.tsx:122 (insert voice_conversion_queue), :159 (POST edge voice-changer, deployada), :193 (RPC record_voice_telemetry) + AudioMessagePlayer.tsx:234 / AudioRecorder.tsx:350 (render) + VoiceChangerPicker.tsx:146 + useAudioMessagePlayer.ts:87-96 (channel voice-conversion-{id} -> zapp.voice_conversion_queue, na publication)",IA-13,,voice_conversion_queue com 0 linhas (ausente do db_uso). Comentário em useAudioMessagePlayer.ts:92 diz que a tabela física é public e zapp é VIEW — conferir se subscription realtime casa (publication lista zapp.voice_conversion_queue).,Voice changer,Full
"UI,hook,edge,tabela",alta,Classifica automaticamente stickers e emojis por categoria no upload/biblioteca.,IA/VOZ/AUDIO,sim,P,"useStickerPicker.ts:178 (invoke classify-sticker) + useMediaLibraryManagement.ts:231,474 (classify-emoji/classify-sticker) + edges classify-emoji e classify-sticker deployadas + zapp.stickers=873, sticker_categories=29 linhas (db_uso)",IA-16,,Resultado da IA aplicado client-side na categoria do upload.,Classificação de emoji/sticker,Full
"UI,rota,hook,tabela/view,realtime",alta,"Sidebar da inbox com conversas por contato, último preview, unread, paginação por cursor e atualização em tempo real.",INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/hooks/useRealtimeMessages.ts:234 (dbFrom('contacts') cursor paging), :250 (dbFrom('messages')), :670-719 (realtime schema 'evo' table 'evolution_messages' INSERT/UPDATE/DELETE) + src/pages/ViewRouter.tsx:75 (rota 'inbox' -> RealtimeInboxView) + zapp.messages/zapp.contacts (views security_invoker, archive/20260727200000_perf_security_media_fixes.sql:21) + evo.evolution_conversations_wpp2=12839 / evo.evolution_messages_wpp2=62594 linhas",INBOX-01,,"Fio íntegro: leitura via views zapp (RLS security_invoker), realtime na tabela física evo.evolution_messages (na publication 68). RPC rpc_list_conversations existe como fallback (src/hooks/evolution/v237Fallbacks.ts:47) mas não é o caminho principal.",Listar conversas (sidebar),Full
"UI,hook,tabela/view,realtime",alta,"Ao selecionar contato, carrega mensagens (view zapp.messages) + whispers e assina INSERT/UPDATE/DELETE em evo.evolution_messages.",INBOX/CONVERSAS/MENSAGENS,sim,P,src/features/inbox/services/messageService.ts:28-42 (getAllMessagesForContact -> fetchMessagesByContact) + src/features/inbox/data-access/messageRepository.ts:37-44 (dbFrom('messages').select().eq('contact_id')) e :103-118 (subscription schema 'evo' table 'evolution_messages' filter contact_id) + zapp.messages view + evo.evolution_messages (62594 linhas),INBOX-02,,Normaliza payload evo (from_me/deleted_at) para shape legado (sender/is_deleted) em useRealtimeMessages.ts:655-669. Deep links + fallback contact (useFallbackContact) cobrem contato fora da página.,Abrir conversa (carregar histórico + realtime),Full
"UI,hook,edge,tabela/view,realtime",alta,"Envio de texto, imagem, áudio, vídeo, documento e localização via edge evolution-api com retry, idempotência e DLQ.",INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/hooks/realtime/messageSender.ts:141 (supabase.functions.invoke('evolution-api/<action>')), :289-327 (retry loop) + messageSenderHelpers.ts:83-157 (send-media/send-audio/send-text/send-location) + externalAudioSender.ts:106 (evolution-api) + edge evolution-api DEPLOYADA + zapp.messages view com 6 INSTEAD OF triggers (archive/20260727200000:21, 20260716_fix_messages_insert_trigger_return_id.sql) -> evo.evolution_messages (62594)",INBOX-03,,Escrita na view zapp.messages via triggers INSTEAD OF grava na partição física evo; realtime devolve o evento para a UI (loop fechado). Suporta whatsapp-cloud-api como rota alternativa (messageSender.ts:124-126).,Enviar mensagem (texto e mídia),Full
"UI,hook,RPC,tabela,realtime,edge",alta,"Adicionar/remover emoji em mensagem com espelho para WhatsApp via Evolution API, batch load e realtime.",INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/hooks/reactions/useReactionMutations.ts:85 (upsert zapp.message_reactions onConflict), :171 (delete), :120-130 (sendReaction via evolution-api) + useMessageReactions.ts:27-33 (realtime schema 'zapp' table 'message_reactions') + usePreloadConversationReactions.ts:37 (rpc_get_reactions_batch em rpc_calls_front.txt) + zapp.message_reactions=424 linhas (na publication)",INBOX-04,,evo.evolution_reactions (32 linhas) também está na publication mas o app usa zapp.message_reactions — espelho WhatsApp via edge evolution-api.,Reações em mensagem,Full
"UI,hook,edge",alta,Encaminha mensagem para múltiplos contatos/grupos reenviando via edge evolution-api.,INBOX/CONVERSAS/MENSAGENS,sim,P,"src/hooks/useForwardMessage.ts:46 (dbFrom('contacts')), :61 (whatsapp_groups) + src/features/inbox/components/chat/useMessageReactionHandlers.ts:53-73 (sendMessageToContact para cada target -> evolution-api) + ForwardMessageDialog.tsx:50 + edge evolution-api deployada",INBOX-05,,Implementado como reenvio (prefixo '➡️ Encaminhada'). Tabela zapp.forwarded_messages é ORFÃ: existe no DB mas nenhum código a escreve (0 uso).,Encaminhar mensagem,Full
"UI,hook,tabela",alta,Fixar/desafixar conversa por agente com persistência em zapp.pinned_conversations.,INBOX/CONVERSAS/MENSAGENS,nao,P,"src/hooks/useConversationManagement.ts:105-123 (insert/delete pinned_conversations) + src/features/inbox/components/chat/useChatPanelHandlers.ts:463-479 (toggle pin) + src/features/inbox/components/ConversationContextMenu.tsx (item fixar) + zapp.pinned_conversations (types.ts:33881, física)",INBOX-06,,Tabela não listada em db_uso (sem linhas relevantes). Realtime não é necessário (estado lido no mount via loadPinned).,Fixar conversa (pinned),Full
"UI,hook,tabela,realtime",alta,Nota interna por conversa (modo whisper) com contador de não-lidas e realtime.,INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/hooks/useWhisperMessagesMutation.ts:9 (insert whisper_messages) + src/features/inbox/hooks/useRealtimeInbox.ts:238-242 (count não-lidas), :248-262 (realtime schema 'zapp' table 'whisper_messages') + useMessages/messageService busca whispers + toggle isWhisper em ChatPanel (useChatPanelHandlers.ts:615-616) + zapp.whisper_messages=2 linhas, na publication",INBOX-10,,Volume baixo (2 linhas) mas fio completo. zapp.contact_notes (1 linha) tem RPCs get_contact_notes/add_contact_note definidas em rpcCatalog.ts:531-537 porém sem uso no front — caminho alternativo órfão.,Notas internas (whisper),Full
"UI,hook,tabela,edge",alta,"Criar/gerenciar tags, vincular a contatos, filtrar inbox por tag e auto-tag via IA.",INBOX/CONVERSAS/MENSAGENS,nao,P,"src/hooks/useTags.ts:37-45 (tags + contact_tags select), :110-224 (create/delete/vinculação) + src/features/inbox/components/chat/useChatPanelHandlers.ts:516-537 (slash /tag -> tags + contact_tags) + src/features/inbox/hooks/useInboxDataQueries.ts:45 (map contato->tags) + src/features/inbox/hooks/useInboxFilters.ts:309 + useAIAutoTags.ts:19 (ai_conversation_tags) + zapp.tags/zapp.contact_tags/zapp.ai_conversation_tags + edge ai-auto-tag DEPLOYADA",INBOX-11,,Tags/contact_tags não listadas em db_uso (sem linhas relevantes). RPC bulk_add_tag existe no DB (types.ts:73642) mas não é chamada pelo front.,Tags em conversa,Full
"UI,hook,RPC,tabela",alta,Busca global (contatos/tags/CRM 360) e busca in-chat com highlight.,INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/components/RealtimeInboxView.tsx:33-34 (GlobalSearch lazy) + src/features/inbox/components/useGlobalSearchData.ts:291 (dbRpc search_contacts_advanced), :108 (tags) + src/features/inbox/hooks/useChatSearch.ts:55-182 (busca in-chat) + RPC search_contacts_advanced em types.ts (objeto DB existe) + zapp.tags",INBOX-13,,"search_contacts_advanced não aparece em rpc_calls_front.txt (pack possivelmente incompleto), mas está no rpcCatalog e no types.ts gerado do DB.",Busca de conversas,Full
"UI,hook,tabela",alta,Presets de filtro da inbox persistidos por usuário em saved_filters com sync entre dispositivos.,INBOX/CONVERSAS/MENSAGENS,nao,P,"src/features/inbox/hooks/useInboxFilters.ts:594-600 (presets + sync inicial), :28-42 (imports) + src/features/inbox/hooks/inboxPresetsSync.ts:73 (safeFrom('saved_filters').select), :99-116 (upsert/delete remoto) + zapp.saved_filters (types.ts:35327)",INBOX-14,,"Tabela sem linhas em db_uso (pouco usado), mas fio completo (localStorage + backend).",Filtros salvos (presets),Full
"UI,rota,hook,tabela,realtime",alta,"Chat interno de equipe com conversas, membros, mensagens, reações e realtime.",INBOX/CONVERSAS/MENSAGENS,sim,P,"src/features/inbox/hooks/team-chat/useTeamConversations.ts:27-84 (team_conversations/team_conversation_members/team_messages), :136-153 (realtime schema 'zapp' team_messages + team_conversations) + useTeamMessages.ts:71-105 + useTeamChatMutations.ts:34-191 (CRUD) + rota 'team-chat' (ViewRouter.tsx:125 -> TeamChatView lazyViews.ts:109) + canais team-chat-updates e notifications:team-chat (realtime_channels_front.txt) + zapp.team_messages/team_conversations/team_conversation_members/team_message_reactions físicas na publication; team_conversations=2, team_conversation_members=4, team_message_reactions=1",INBOX-16,,Uso real porém baixo volume; team_messages sem linhas em db_uso (chat em uso incipiente).,Team chat (equipe),Full
"UI,hook,edge,tabela",alta,Autenticação por passkey com 4 fluxos na edge webauthn,SEGURANCA/COMPLIANCE/ADMIN,nao,P,"edge webauthn (4 fluxos, edges_deployadas) + zapp.passkey_credentials + zapp.webauthn_challenges",SEGURANCA-02,,Fio completo; sem linhas ainda.,Passkeys/WebAuthn,Full
"hook,edge,tabela",alta,Alerta ao logar de dispositivo desconhecido,SEGURANCA/COMPLIANCE/ADMIN,nao,P,edge detect-new-device + zapp.user_devices + zapp.user_sessions,SEGURANCA-03,,Fio completo.,Detecção de novo dispositivo,Full
"UI,hook,tabela,RPC,realtime",alta,Limites por RPC e webhook com logs,SEGURANCA/COMPLIANCE/ADMIN,sim,P,fn_rate_limit_check (canonical:8123) + zapp.rate_limit_configs + zapp.rate_limit_logs + zapp.rpc_rate_limits=3 + channel rate-limit-logs na publication,SEGURANCA-06,,Fio completo com dados.,Rate limiting,Full
"UI,hook,tabela,RPC,realtime,cron",alta,Trilha de auditoria com realtime,SEGURANCA/COMPLIANCE/ADMIN,sim,P,zapp.audit_logs=7646 + zapp.security_audit_logs + canais audit + 4 crons de segurança (db_crons),SEGURANCA-07,,Em produção.,Audit log,Full
"UI,hook,tabela,edge,realtime",alta,Alertas com canal realtime e edge de notificação,SEGURANCA/COMPLIANCE/ADMIN,nao,P,channel security-alerts físico + zapp.security_alerts + zapp.security_events + edge send-rate-limit-alert,SEGURANCA-08,,Fio completo.,Alertas de segurança,Full
"UI,hook,RPC,tabela",alta,"RBAC: has_role, is_admin_or_supervisor, route_permissions",SEGURANCA/COMPLIANCE/ADMIN,sim,P,has_role/is_admin_or_supervisor GRANTed + user_has_permission + zapp.permissions=7 + zapp.user_roles=17 + ProtectedRoute→route_permissions,SEGURANCA-11,,Em produção.,Roles/permissões,Full
"UI,hook,edge,tabela",alta,"Criação de usuário, roles e departamentos",SEGURANCA/COMPLIANCE/ADMIN,nao,P,edge create-user (fetch autenticado) + zapp.user_roles.upsert + zapp.departments CRUD,SEGURANCA-12,,Fio completo (departamentos merged).,Gestão de usuários/departamentos,Full
"UI,hook,tabela,realtime",alta,Configurações do workspace com realtime e onboarding,SEGURANCA/COMPLIANCE/ADMIN,nao,P,"settingsRepository com realtime em zapp.workspace_settings (física, na publication) + zapp.onboarding_steps + zapp.user_settings",SEGURANCA-13,,Onboarding merged neste recurso.,Workspace settings + onboarding,Full
"hook,edge,tabela,realtime",alta,Validação e selftest de assinatura de webhooks,SEGURANCA/COMPLIANCE/ADMIN,nao,P,"edges webhook-secret-status + webhook-hmac-selftest + zapp.hmac_selftest_audit (realtime físico, na publication)",SEGURANCA-15,,Fio completo.,Webhook secret / assinatura HMAC,Full
"hook,edge,tabela,cron",alta,Scan de arquivos por ClamAV com quarentena,SEGURANCA/COMPLIANCE/ADMIN,sim,P,edges secure-upload + virustotal-test + zapp.media_scan_log=11314 + zapp.media_quarantine>0 + cron scan-media-security,SEGURANCA-16,,Em produção.,Escaneamento de mídia (ClamAV),Full
"UI,rota,hook,service,edge,tabela,realtime,teste",alta,"Lista conexões WhatsApp, gera QR code / pairing code e acompanha status de conexão por instância Evolution.",EVOLUTION/WHATSAPP,sim,P,"src/features/connections/hooks/useConnectionsManager.ts:52 (generateQr), :158 (pairing) + src/features/connections/services/whatsappConnectionService.ts:61 (requestQrCode via invoke evolution-api) + whatsappConnectionRepository.ts:83 (qr_attempts) :91 (invoke evolution-api) + zapp.whatsapp_connections (3, realtime db_realtime.txt) + zapp.qr_attempts (5, realtime) + useConnectionsRealtime.ts:53 (sub zapp.whatsapp_connections) + QrAttemptsPanel.tsx:103 (channel qr-attempts-admin) + edge:evolution-api (deployada) + testes: whatsappConnectionService.test.ts, useConnectionsActions.test.tsx",WHATSAPP-01,,Conexão via view compat zapp.evolution_instances (security_invoker) para listar; evo.evolution_instances NÃO existe (PGRST205 documentado em src/hooks/useIntegrationManagement.ts:27-28). QR usa API Evolution real; 5 qr_attempts registrados.,"Gestão de instâncias (listar, conectar QR/pairing code)",Full
"UI,rota,hook,edge,tabela,realtime",alta,"Recebe webhooks da Evolution (HMAC), grava eventos processados e expõe dashboards admin + ferramentas de diagnóstico de assinatura.",EVOLUTION/WHATSAPP,sim,P,"edge:evolution-webhook (deployada; auditoria-edge-functions.md: logs ativos chats.update wpp2, HMAC ok) + zapp.webhook_events_processed=102080 + zapp.webhook_audit_log=101875 + evo.evolution_webhook_events_v2_2026_07=46179 + src/pages/admin-webhook-overview/useWebhookOverview.ts:45 (queryExternalProxy evolution_webhook_events) + ViewRouter.tsx:120 ('webhook-events'), :123 ('webhook-overview'), :137 ('webhook-secret') + src/lib/recheckWebhookSignature.ts:22 (invoke recheck-webhook-signature) + AdminWebhookSecretStatusPage + HmacSelfTestButton.tsx:244",WHATSAPP-02,,Fio completo: Evolution → edge evolution-webhook → evo.evolution_webhook_events (particionado) → dashboards via external proxy. 102k eventos processados = tráfego real.,Webhook Evolution (recepção + diagnóstico HMAC/secret),Full
"UI,hook,edge,cron,tabela,teste",alta,"Sincroniza mensagens, conversas e contatos da Evolution para o banco evo e reconcilia conexões periodicamente.",EVOLUTION/WHATSAPP,sim,P,"edge:evolution-sync (deployada; invocada em src/components/connections/ConnectionsView.tsx:198 sync-all-messages) + crons: evo-sync-messages-to-v2 (*/5), whatsapp_reconcile_dispatch (*/5), whatsapp_reconcile_apply, whatsapp_reconcile_reaper, whatsapp_reconcile_cleanup (db_crons.txt) + evo.evolution_messages_wpp2=62594 + evo.evolution_conversations_wpp2=12839 + evo.evolution_contacts=20543 + evo.evolution_reconcile_jobs=1248 + leitura com .schema('evo') em src/integrations/zappweb/hooks/useZappMessages.ts:32 e useZappConversations.ts:30/79",WHATSAPP-03,,Leituras novas (zappweb hooks) usam .schema('evo') correto; leituras legadas usam views compat zapp (ver WHATSAPP-03 achado: useExternalEvolution.ts:334 etc. sem .schema()).,Sincronização e reconciliação de mensagens/contatos,Full
"UI,hook,edge,tabela,realtime",alta,"Envia mensagens pelo proxy evolution-api (e whatsapp-cloud-api no modo oficial) com idempotência, retry e fila.",EVOLUTION/WHATSAPP,sim,P,"src/features/inbox/hooks/useNewConversation.ts:190 (invoke evolution-api) + useChatMediaSending.ts:253/264/333 + src/hooks/useEvolutionApiManagement.ts:208-211 (evolution-api/<action> com Idempotency-Key) + src/lib/evolutionSendRetry.ts:125 + src/lib/sendFunctionRouter.ts:58 (routing oficial/evolution) + edge:evolution-sender (200, 'v6. Enfileiramento/envio' — auditoria-edge-functions.md) + zapp.outbound_message_queue (realtime db_realtime.txt) + zapp.provider_message_log (lido em src/hooks/useWhatsAppLogs.ts:26) + InboxPage rota /inbox (AppRoutes.tsx:104)",WHATSAPP-04,,Envio real comprovado por evo.evolution_messages_wpp2 (62k) e webhook_events_processed (102k). zapp.provider_message_log e outbound_message_queue sem linhas no db_uso (logs de envio vazios — possível gap de observabilidade).,Envio de mensagens (texto/mídia/áudio com retry),Full
"UI,rota,hook,tabela,edge",media,"Lista, cria e gerencia grupos com dados sincronizados do WhatsApp.",EVOLUTION/WHATSAPP,sim,P,src/hooks/groups/actions.ts:90/129/157/226 (CRUD zapp.whatsapp_groups) + src/hooks/useGroupsManager.ts:29 + src/components/groups/GroupsView.tsx + ViewRouter.tsx:81 ('groups') + zapp.whatsapp_groups=30 + src/hooks/useForwardMessage.ts:61 + ações de grupo via proxy evolution-api (useEvolutionApiManagement),WHATSAPP-07,,"Dupla fonte: evo.evolution_groups (25, física) vs zapp.whatsapp_groups (30, tabela do app usada pela UI) — sem realtime de grupos na publication (db_realtime.txt não lista evolution_groups); view compat zapp.evolution_groups existe (types.ts).",Grupos WhatsApp,Full
"UI,hook,service,edge,tabela,realtime",alta,"Exibe stories/status de contatos e presença via Evolution API, com storage físico em evo.",EVOLUTION/WHATSAPP,sim,P,"src/features/inbox/components/contact-details/WhatsAppStatusSection.tsx + useWhatsAppStatus.ts:26 + whatsappStatusRepository.ts:84 (invoke evolution-api/find-status-messages), :91 (send-chat-presence) + evo.evolution_whatsapp_status=14789 (realtime db_realtime.txt) + edge:evolution-api (deployada) + SendStatusBusDebug.tsx (rota debug DebugRoutes.tsx:24)",WHATSAPP-08,,"Leitura sob demanda via edge; evo.evolution_whatsapp_status na publication mas front não assina (sem fio quebrado, apenas caminho alternativo).",Status/stories WhatsApp,Full
"UI,hook,tabela,realtime,edge",alta,Adiciona/remove reações emoji com espelhamento para o WhatsApp via Evolution API e realtime na tabela do app.,EVOLUTION/WHATSAPP,sim,P,"src/features/inbox/hooks/useMessageReactions.ts:27-33 (sub realtime zapp.message_reactions), :76 + useReactionMutations.ts:84/170 (zapp.message_reactions), :106 (mirror via Evolution API) + zapp.message_reactions=424 (publication db_realtime.txt:40) + evo.evolution_reactions=32 (realtime) + MessageReactions.tsx",WHATSAPP-09,,Reações do app em zapp.message_reactions + reações WA físicas em evo.evolution_reactions; espelhamento via send-reaction no proxy evolution-api (useEvolutionApiManagement.ts:487-492).,Reações em mensagens,Full
"UI,hook,edge,cron,tabela,realtime",media,"Monitora saúde das instâncias: health checks, watchdog de desconexão, jid health e logs de conexão.",EVOLUTION/WHATSAPP,sim,P,"src/components/connections/useConnectionCardActions.ts:33/66 (invoke connection-health-check) + useEvolutionAutoReconnect.ts:166 + crons: evo-instance-health-check (*/10), evolution-jid-health-check-5min, wpp2_disconnection_watchdog, evolution-pipeline-health-check-bateria10 (db_crons.txt) + zapp.connection_health_logs=49 (realtime) + evo.evolution_pipeline_health_log=4703 + evo.evolution_health_logs=1 + evo.evolution_connection_history=6635 + edge:connection-health-check (200, '2 instâncias monitoradas')",WHATSAPP-11,,"edge evolution-health reporta DEGRADED ('webhook não configurado, database disconnected' — auditoria 30/07) enquanto o front usa connection-health-check (saudável). Dupla fonte de health com uma delas degradada.",Health check de instância/conexão,Full
"UI,hook,edge,tabela,cron",alta,"Resolve api_key em runtime via edge JWT-gated + Vault, com CRUD de credenciais no schema evo e rotação.",EVOLUTION/WHATSAPP,sim,P,"src/integrations/zappweb/evolutionClient.ts:88 (fetch evolution-credentials com JWT, header X-Evolution-Key, cache 55s + bust 401/403) + src/features/integrations/hooks/useEvolutionApiIntegration.ts:14 (client .schema('evo')), :63/:220/:243 (CRUD evolution_instance_credentials) + evo.evolution_instance_credentials=1 + cron vacuum-instance-credentials-daily (db_crons.txt) + edge:evolution-credentials (deployada)",WHATSAPP-13,,Secret nunca embute no bundle (override VITE_EVOLUTION_API_KEY opcional). Único recurso do domínio que usa .schema('evo') para escrita (além dos zappweb hooks de leitura).,Credenciais seguras de instância (Vault),Full
"hook,edge,UI",media,Busca avatares/fotos de perfil dos contatos em massa e individualmente.,EVOLUTION/WHATSAPP,sim,P,src/features/inbox/hooks/useNewConversation.ts:144/196 (invoke batch-fetch-avatars) + useInboxBulkActions.ts:140 + edge:batch-fetch-avatars (deployada) + edge:fetch-whatsapp-avatar (deployada) + zapp._backup_avatar_urls_20260803=1066 (backup de URLs de avatar) + useProfileAvatarMutations.ts:8 (profiles.avatar_url),WHATSAPP-15,,Front invoca batch-fetch-avatars; fetch-whatsapp-avatar (individual) nunca invocado diretamente (0 matches em src/) — possivelmente chamado internamente pela batch.,Avatares de contatos WhatsApp,Full
"UI,rota,hook,edge",media,Obtém senha SIP para autenticação de chamadas VoIP vinculadas à instância WhatsApp.,EVOLUTION/WHATSAPP,n-a,P,src/components/calls/VoIPPanel.tsx:81 (invoke get-sip-password) + ViewRouter.tsx ('voip': VoIPPanel) + edge:get-sip-password (deployada),WHATSAPP-16,,Infra de chamadas; edge ativa e invocada pelo painel VoIP.,Senha SIP (chamadas VoIP),Full
"UI,rota,hook,tabela",media,CRUD de automações/regras com gatilhos e ações,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,src/components/routing/AdminRoutes.tsx:198 (/admin/automations) + src/pages/ViewRouter.tsx:95 (AutomationsManager) + src/features/admin/hooks/useAdminManagement.ts:333 (from('automations')) + zapp.automations + zapp.automation_rules,AUTOMACOES-01,RLS de zapp.automations não localizada nas migrations ativas; 0 linhas no DB; duplicidade automations vs automation_rules,Políticas só em public.automations arquivadas (20260318); edge automation-suggest-reply lê automation_rules.,Regras de automação (CRUD),Partial
"hook,RPC,tabela,edge,realtime,cron",media,"Registro de execuções, sugestão de resposta por IA e auto-envio",AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,"src/hooks/useAutomations.ts:260 (invoke automation-suggest-reply) + :234 (automation_executions) + zapp.rpc_register_automation_execution/rpc_record_automation_error (20260724000029, GRANT authenticated) + edge automation-suggest-reply + realtime zapp.automation_executions (db_realtime) + src/hooks/useAutomationLogs.ts:86 (subscription zapp.automation_executions)",AUTOMACOES-02,Depende de AUTOMACOES-01 populado (0 regras → 0 execuções); logs admin /admin/automations/logs ok mas vazios,Realtime publication OK; rpc_register_automation_execution presente.,Execuções de automação + sugestão IA,Partial
"UI,rota,hook,tabela,edge",media,Editor visual de flows com gatilhos keyword/menu/webhook/schedule,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,src/components/chatbot/ChatbotFlowsView.tsx:57 + src/pages/ViewRouter.tsx:94 (chatbot) + src/hooks/useChatbotFlows.ts (8x from('chatbot_flows')) + zapp.chatbot_flows + edge chatbot-l1 (index.ts:40 lê chatbot_flows ai_l1),AUTOMACOES-03,0 linhas; edge evolution-chatbot responde via evolution_chatbot_responses sem vincular a chatbot_flows; sem produtor de chatbot_executions,Rotas sidebar automationNav chatbot/automations presentes (sidebarNavConfig.ts:89).,Chatbot flow builder,Partial
"UI,hook,tabela",baixa,Dashboard de execuções dos flows,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,P,src/components/chatbot/ChatbotExecutionsDashboard.tsx:60 (safeClient from('chatbot_executions')) montado em ChatbotFlowsView + zapp.chatbot_executions,AUTOMACOES-04,RLS/grants de zapp.chatbot_executions não verificados; nenhum produtor grava nela (evolution-chatbot grava em evo.evolution_chatbot_responses),Dashboard sempre vazio sem produtor.,Painel de execuções de chatbot,Partial
"UI,hook,tabela",alta,Respostas rápidas por atalho,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,src/features/inbox/components/QuickRepliesManager.tsx:9 (useQuickReplies) + src/features/inbox/hooks/useQuickReplies.ts:61/141 (from('message_templates')) + zapp.message_templates,AUTOMACOES-05,Front usa message_templates; zapp.quick_replies órfã; evo.evolution_quick_replies=13 sem consumo — 3 tabelas p/ 1 feature,"Fio quebrado por duplicidade (uso real apenas em evo, não lido pelo app).",Quick replies,Partial
"UI,hook,tabela",media,Mensagem automática fora do horário,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,P,src/components/connections/BusinessHoursDialog.tsx:19 + src/hooks/useBusinessHoursManagement.ts:86/118 (from('away_messages')) + zapp.away_messages + policies away_messages_select_all/admin_write (20260724000044:399),AUTOMACOES-06,Nenhum edge/consumer lê away_messages em runtime (grep em supabase/functions só achou external-db-proxy allowlist) — sem enforcement,CRUD íntegro; lado runtime ausente.,Mensagem de ausência,Partial
"UI,hook,tabela,edge",baixa,Fechamento automático de conversas inativas,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,src/components/settings/AutoCloseSettings.tsx:9 (useAutoCloseConversations) + src/hooks/useAutomationManagement.ts:522/541 (auto_close_config) + zapp.auto_close_config + edge auto-close-conversations (edges_deployadas),AUTOMACOES-07,"Sem cron/agendador no db_crons; edge referencia contacts/messages sem schema confirmado (auto-close index.ts:45,65); ações não evidenciadas","Edge deployado, mas scheduling/contrato não rastreável.",Auto-close de conversas,Partial
"UI,hook,tabela,RPC",media,Horário comercial por conexão + flag em settings,AUTOMACOES/CHATBOT/FOLLOW-UP,nao,M,"src/components/connections/BusinessHoursDialog.tsx:51 + src/hooks/useBusinessHoursManagement.ts:63/104 (business_hours) + :182 (rpc is_within_business_hours) + zapp.business_hours (20260724000043:67, policies)",AUTOMACOES-08,public.is_within_business_hours (search_path=public) consulta business_hours movida p/ zapp → RPC provavelmente falha; front engole erro → trata como aberto; sem enforcer,Fio quebrado pós-migração; wrapper zapp.is_within_business_hours delega ao public.,Business hours,Partial
